PSTW ID,Name,Website,Description,Geographical extent,Geographical coverage (country),NUTS 2021,Responsible organisation,Responsible organisation category,Functions of Government (COFOG level I),Functions of Government (COFOG level II), Status,Start Year,End Year,Process type,Application type,Cross Border,Cross Sector,Primary Technology,Secondary Technology,Interaction,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminated the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,AI Classification (I),AI Classification Subdomain (II) (main),AI Classification Subdomain (II) (Other I),AI Classification Subdomain (II) (Other II),AI Classification Subdomain (II) (Other III),AI Keywords,Collaboration type,Procurement (EU Model Contractual AI),Funding source,GovTech,Company name or GovTech ID,GovTech Initiative + ID,Open components in input,Open components in output,Stories link,Date updated
PSTW-435,Suicide Prevention in Jail - Detecting of suspicious objects in a cell,https://automatingsociety.algorithmwatch.org/report2020/germany/,"In 2019, the Ministry of Justice of the State of North Rhine-Westphalia launched a program aimed at preventing suicide in jail. The ministry employed the Chemnitz-based firm FusionSystems GmbH  to build a video surveillance system that can detect suspicious objects such as a knotted rope or a firelighter inside a cell and alert officers on duty. The system is supposed to be used on inmates who are categorized at a medium to high suicide risk level and it is meant to substitute the current in-person checks carried out at 15-minute intervals, which have been criticized because they potentially increase the emotional strain on inmates.
",Regional,Germany,DE,Ministry of Justice of the State of North Rhine-Westphalia,Local Government,Public order and safety,Public order and safety n.e.c.,Pilot,2019,,Enforcement,Smart Recognition processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,,,,,,,,https://automatingsociety.algorithmwatch.org/report2020/germany/,Perception,Computer vision,Machine learning,,,,GovTech,,,Yes,FusionSystems GmbH,,,,,06/10/2024
PSTW-436,PRE-VIEW - Identification of international crisis,https://creativebureaucracy.org/discover/videos/krisenfruherkennung-preview/,"The Federal Foreign Office uses the data analytics tool PRE- VIEW– Prediction, Visualization, Early Warning (Auswärtiges Amt, 2019) to identify evolving international crises. The tool analyzes publicly available data related to current political, economic, and societal trends and conflicts in order to identify developing crises. According to the Federal Foreign Office, AI is used to process the data, which is then used to produce infographics and maps to help provide insights into the state of a particular conflict. Furthermore, trend analyses illustrate how political and societal developments may evolve. PREVIEW is deployed by the Federal Foreign Office’s Department S, which oversees international stabilization measures and crises engagement. The output also supports the civil servants in determining which steps to take next.
",National,Germany,DE,Federal Foreign Office,Central-Government,Public order and safety,R&D public order and safety.,Implemented,2018,,"Analysis, monitoring and regulatory research",Monitoring policy implementation,No,No,Artificial Intelligence,,G2C,x,,x,,x,,,,,,,,,,x,x,,,"https://automatingsociety.algorithmwatch.org/report2020/germany/
https://www.bmvg.de/de/aktuelles/krisenfrueherkennung-bundeswehr-verstetigt-vernetzt-verbessert-5391892",Planning,Planning and Scheduling,Automated reasoning,,,,,,,,,,,,,14/10/2024
PSTW-437,Identity Check of Migrants - Analysis of content and language of phones ,https://automatingsociety.algorithmwatch.org/report2020/germany/,"The Bundesamt für Migration und Flüchtlinge (Federal Office for Migration and Refugees, BAMF) has been using automated text and speech recognition systems to identify refugees since 2017. Agency employees can ask asylum seekers to give them access to their cell phone, tablet, or laptop to verify if they are telling the truth about where they come from. The agency has the ability to obtain all the data contained on the devices and run software on it. The software presents the employee with a limited overview of the content, which also includes language analysis of the text retrieved. According to the BAMF, both the software and the hardware was provided by the firm Atos SE, however, VICE Magazine found evidence,   that the mobile forensic technology firm MSAB was also involved. Another tool deployed by the BAMF aims to identify disguised dialects in speech. When an asylum seeker does not have a valid proof of ID, a two-minute voice recording of the person describing a picture in their mother tongue is analyzed by software, which then calculates a percentage of how close the speech comes to a certain dialect.
",National,Germany,DE,"Bundesamt für Migration und Flüchtlinge (Federal Office for Migration and Refugees, BAMF)",Central-Government,Social protection,Social protection n.e.c.,Implemented,2017,,"Analysis, monitoring and regulatory research",Monitoring policy implementation,No,No,Artificial Intelligence,,G2C,x,x,,,x,,,,,,,,,,,,,,https://automatingsociety.algorithmwatch.org/report2020/germany/,Communication,Natural language processing,Machine learning,Audio processing,,speech recognition,,,,,,,,,,15/10/2024
PSTW-438,JUS-IT -  Child Care Service,https://www.hamburg.de/jus-it/,"Since 2012, the Behörde für Arbeit, Soziales, Familie und Integration (Agency for Labor, Social Affairs, Family and Integration) in Hamburg has been using a piece of software called JUS-IT (Behörde für Arbeit Soziales Familie und Integration, 2018) for the General Social Service, the Child Care Service and the Economic Help for Youths Programme. It is used to administer cases and automate payments and is equipped with interfaces that connect it to police reports and health insurance funds. The system is based on Cúram – a modular off-the-shelf IBM product that can be tailored for specific needs. In 2019, it was recommended a major revision or a complete shutdown (Lasarzik, 2019) of the software.",Local,Germany,DE,"Agency for Labor, Social Affairs, Family and Integration",Local Government,Social protection,Family and children.,Implemented,2012,,Adjudication,Taking decisions on benefits  ,No,No,Artificial Intelligence,,G2C,x,,,,x,,,,,,,,,,,,,,https://automatingsociety.algorithmwatch.org/report2020/germany/,Reasoning,Automated reasoning,Planning and Scheduling,,,,,,,,,,,,,16/10/2024
PSTW-439,ALLEGRO - administer unemployment benefit,https://automatingsociety.algorithmwatch.org/report2020/germany/,"The Bundesagentur für Arbeit (Federal Labor Agency) uses an IT-system called ALLEGRO to administer unemployment benefit. The agency workers input an applicants’ data and the system calculates the corresponding benefit levels. The system can connect to health insurance and pension funds and cooperate with customs and the Central Register of Foreign Nationals (Ausländerzentralregister) (Deutscher Bundestag, 2018). In 2012, ALLEGRO replaced the administration’s previous software, called A2LL, which was an error prone system developed by T-Systems. The new software was developed in-house at the Federal Labor Agency (Borchers, 2008).",National,Germany,DE,Federal Labor Agency,Central-Government,Social protection,Unemployment.,Implemented,2012,,Adjudication,Taking decisions on benefits  ,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,,,x,,x,x,,,https://automatingsociety.algorithmwatch.org/report2020/germany/,Reasoning,Automated reasoning,Automated reasoning,,,,,,,,,,,,,17/10/2024
PSTW-440,DyRiAS threat levels of abusive male partners,https://automatingsociety.algorithmwatch.org/report2020/germany/,Protection centers for women in the cities of Singen and Weimar use DyRiAS-Intimpartner (DyRiAS intimate partner) to determine the threat levels of abusive male partners.,Local,Germany,DE,Cities of Singen and Weima,Local Government,Social protection,Social protection n.e.c.,Implemented,2014,,Enforcement,Supporting inspection processes,No,No,Artificial Intelligence,,G2C,x,,,x,,,,,,,,,,,,,,,"https://automatingsociety.algorithmwatch.org/report2020/germany/
https://second.wiki/wiki/dyrias",Planning,Planning and Scheduling,Automated reasoning,,,,,,,,,,,,,18/10/2024
PSTW-441,DyRiAS potential to go on a school shooting rampage.,https://automatingsociety.algorithmwatch.org/report2020/germany/,In Landesschulamt Sachsen-Anhalt (Federal State Education Agency) DyRiAS-Schule (DyRiAS school) is deployed to analyze the threat levels of students who have the potential to go on a school shooting rampage.,National,Germany,DE,Federal State Education Agency,Central-Government,Public order and safety,Public order and safety n.e.c.,Implemented,2014,,Enforcement,Predictive enforcement processes,No,No,Artificial Intelligence,,G2C,x,,,x,,,,,,,,,,,,,,,"https://automatingsociety.algorithmwatch.org/report2020/germany/
https://second.wiki/wiki/dyrias",Planning,Planning and Scheduling,Automated reasoning,,,,,,,,,,,,,10/10/2024
PSTW-442,ROBORDER project,https://roborder.eu/,"The Center for Research and Technology Hellas (ITI/CERTH), the National and Kapodistrian University of Athens (UoA), and the Hellenic Ministry of Defense participate in the research project consortium ROBORDER (“autonomous swarm of heterogeneous RObots for BORDER surveillance”). The aim of the ROBORDER project is to deliver a fully-functional, autonomous border surveillance system. The system consists of unmanned mobile robots including aerial, water surface, underwater and ground vehicles, capable of functioning both on a standalone basis and in swarms. The project started in May 2017 and will conclude in February 2021. Twelve other countries are also participating in this consortium: Portugal, United Kingdom, Romania, Germany, Italy, Switzerland, Bulgaria, Spain, Hungary, Belgium, Finland, and Estonia (ROBORDER, 2017).
",National,Greece,EL,Hellenic Ministry of Defense,Central-Government,Public order and safety,Public order and safety n.e.c.,Pilot,2017,2021,Enforcement,Supporting inspection processes,Yes,Yes,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,,,,,,,,https://automatingsociety.algorithmwatch.org/report2020/greece/,Perception,Computer vision,Knowledge representation,,,,,,,,,,,,,10/10/2024
PSTW-443,AVINT Trikala - Integration of a line of automated buses,https://www.space.gr/en/avint,"Trikala city is part of the AVINT (“Autonomous vehicles integrated within the urban context”). Tjos is a project set up to study urban transport in Trikala. It will integrate a line of automated buses – three buses in total, carrying 10 passengers each – into the city’s transportation network. This automated bus line will connect Trikala city center with the university campus. The project started in January 2019 and will be completed in December 2021. ",Local,Greece,EL,City of Trikala,Local Government,Economic affairs,Transport,Pilot,2018,2021,Public services and engagement,Service integration (various),No,No,Artificial Intelligence,,G2C,x,,x,,x,,,,,,,,,,,,,,https://automatingsociety.algorithmwatch.org/report2020/greece/,Integration and Interaction,Connected and Automated vehicles,Machine learning,,,,,,,,,,,,,10/10/2024
PSTW-444,ANPR Greece,https://datanoesis.gr/security/automatic-license-plate-recognition/,"Automatic Number Plate Recognition (ANPR) cameras were  introduced in  2019.  50 Hellenic police vehicles are equipped with such cameras and they are capable of detecting the license plates of stolen vehicles or vehicles used in criminal activities. The ANPR can recognize 15,000 license plates per hour, and the cameras can detect license plates at speeds above 170 km per hour. In the near future, they will also be able to detect uninsured vehicles.",National,Greece,EL,Hellenic Police,Central-Government,Public order and safety,Police Services,Implemented,2018,,Enforcement,Smart Recognition processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,,,,,,,,https://automatingsociety.algorithmwatch.org/report2020/greece/,Perception,Computer vision,Machine learning,,,,,,,,,,,,,09/10/2024
